0,1,2,3,4,5,time,classifier,pseudotime
0.013062273,0.10883137,0.0012079711,0.80593073,0.065999895,0.0049678283,109,c1,0.6982267
0.014762171,0.10314302,0.0011159587,0.8166538,0.057775736,0.006549427,111,c1,0.69959027
0.015059715,0.111393005,0.001044018,0.8298476,0.036591638,0.006063968,113,c1,0.70303184
0.99841547,0.0006322736,5.0505245e-05,6.352854e-05,4.5584516e-06,0.00083365495,1,c2,0.33379212
0.9982388,0.0016424423,1.6386592e-05,4.2495394e-05,3.1826337e-07,5.9592207e-05,3,c2,0.36385068
0.99784625,0.0016411798,7.997173e-06,0.00031915182,3.9116816e-07,0.00018499861,5,c2,0.38257623
0.8701064,0.12741514,1.3724739e-05,0.00209013,3.6559462e-07,0.00037428804,7,c2,0.39932215
0.988791,0.009835318,1.684817e-06,0.0013168058,2.515586e-07,5.495069e-05,9,c2,0.40907484
0.99455017,0.0040156906,1.7474833e-06,0.001404123,2.936715e-07,2.7891769e-05,11,c2,0.4179559
0.97863996,0.0058024754,2.7897336e-06,0.015471991,7.061372e-07,8.207467e-05,13,c2,0.42743686
0.7574658,0.00043204907,1.5693287e-06,0.24204734,3.0140103e-07,5.2839805e-05,15,c2,0.43130544
0.9365823,0.0029686918,3.9284632e-06,0.06039444,2.9062173e-07,5.0388353e-05,17,c2,0.44602007
0.72401905,0.022295242,7.702053e-06,0.2534881,5.1023795e-07,0.00018941684,19,c2,0.45465595
0.85937786,0.062284358,7.830064e-06,0.0779135,5.686107e-07,0.00041589662,21,c2,0.47799823
0.9968689,0.0013992597,2.1420433e-06,0.0016973976,3.4076407e-08,3.2177402e-05,23,c2,0.49376398
0.99759346,0.0009205669,1.8489936e-06,0.0014579486,5.873215e-08,2.6088235e-05,25,c2,0.50393045
0.9935875,0.0007900814,1.1926085e-06,0.005536817,9.6089735e-08,8.437775e-05,27,c2,0.5226173
0.99306315,0.0011929696,1.4049863e-06,0.0056780144,9.07962e-08,6.444654e-05,29,c2,0.5275566
0.99161094,0.00064100494,2.2046681e-06,0.00769528,1.159824e-07,5.044099e-05,31,c2,0.5362405
0.998198,0.00016450157,7.524315e-07,0.0016202197,3.512088e-08,1.6614116e-05,33,c2,0.54746187
0.9993119,0.0002593986,5.746335e-07,0.00042299548,3.2182466e-08,5.0782446e-06,35,c2,0.56884885
0.98850644,0.0009096136,4.7835016e-07,0.010565503,1.0433087e-07,1.79244e-05,37,c2,0.5749665
0.978235,0.0004862743,9.2819903e-07,0.021174697,6.340778e-08,0.00010301355,39,c2,0.58516747
0.984844,0.00088651344,7.104599e-07,0.014257804,1.9455838e-07,1.0693188e-05,41,c2,0.5957076
0.9668861,0.00042627988,3.1500818e-07,0.032684527,4.575341e-07,2.4637961e-06,43,c2,0.6013746
0.99726665,0.00013325163,8.183759e-08,0.0025996566,1.0697113e-07,1.9257887e-07,45,c2,0.6182356
0.9803832,0.0023455555,2.2365438e-07,0.017268153,4.715646e-08,2.8075576e-06,47,c2,0.6256511
0.99866784,0.000959681,1.5990541e-07,0.00037177655,1.8684954e-08,6.0099273e-07,49,c2,0.62892306
0.9999838,1.2212364e-05,2.9402814e-08,4.0110085e-06,5.8601057e-09,3.7979156e-08,51,c2,0.63572353
0.9999945,4.3373693e-06,2.7799057e-08,1.1337765e-06,4.4702726e-09,2.2465695e-08,53,c2,0.63723415
0.99999595,1.4495133e-06,2.0031877e-08,2.5931708e-06,9.795006e-09,3.5880618e-08,55,c2,0.64094335
0.9999958,2.8869597e-06,1.7915985e-08,1.2483447e-06,1.6150488e-09,2.1969512e-08,57,c2,0.64444077
0.9999987,7.2130086e-07,9.385841e-09,5.869495e-07,3.246947e-09,8.5748715e-09,59,c2,0.6473318
0.9999993,2.4990942e-07,6.037208e-09,4.6005067e-07,6.3741066e-09,4.1326347e-09,61,c2,0.64887655
0.9999995,1.938565e-07,5.4199836e-09,2.6111505e-07,4.4084665e-09,3.2522243e-09,63,c2,0.650911
0.9999994,1.8321137e-07,7.645836e-09,3.5763924e-07,6.740442e-09,5.1455715e-09,65,c2,0.6527983
0.9999995,2.0614102e-07,8.178867e-09,2.2803005e-07,4.2573998e-09,5.6046967e-09,67,c2,0.6544877
0.9999995,1.077149e-07,8.219371e-09,3.4556513e-07,1.0839e-08,9.25531e-09,69,c2,0.6558261
0.99999964,7.78088e-08,6.755335e-09,2.0112245e-07,7.879656e-09,2.9383642e-09,71,c2,0.6581294
0.9999995,2.4166104e-07,1.23758825e-08,2.1878529e-07,5.770951e-09,2.4901212e-09,73,c2,0.66010594
0.99999964,1.0493631e-07,8.200455e-09,1.8143406e-07,7.3253394e-09,3.385296e-09,75,c2,0.6610741
0.9999995,1.9637669e-07,1.4913992e-08,2.2718069e-07,1.089648e-08,5.0072764e-09,77,c2,0.66455066
0.99999964,2.021572e-07,8.474478e-09,1.0417312e-07,2.5199978e-09,8.2494916e-10,79,c2,0.6687522
0.99999964,7.2772565e-08,5.740367e-09,2.1784258e-07,7.4632105e-09,4.320595e-09,81,c2,0.6723641
0.9999995,9.965211e-08,4.3546966e-09,3.2365438e-07,1.1777389e-08,5.332007e-09,83,c2,0.6725976
0.9990577,0.00091994985,2.6675485e-07,2.214745e-05,6.0248206e-09,3.0541464e-08,85,c2,0.6739024
0.97237295,0.027225476,3.931378e-06,0.00039680357,1.122639e-07,6.8574417e-07,87,c2,0.67498314
0.8829593,0.11510336,2.7251033e-06,0.0019331868,1.6108291e-07,1.3494705e-06,89,c2,0.67604
0.25118724,0.72674793,1.8464431e-06,0.022061612,1.7824232e-07,1.2128872e-06,91,c2,0.67798924
0.0011073517,0.99636674,1.18403236e-07,0.002525548,4.6902997e-09,2.2962985e-07,93,c2,0.6786741
0.01043436,0.2800557,3.6322768e-07,0.7095016,2.7244505e-07,7.69442e-06,95,c2,0.6795744
0.16677402,0.16318554,1.262637e-06,0.670021,1.0938443e-06,1.7143058e-05,97,c2,0.6799602
0.010560493,0.09556214,2.3852252e-07,0.89387417,2.2916491e-07,2.7050073e-06,99,c2,0.68174076
0.20184933,0.04749233,8.246949e-07,0.7506449,2.8239244e-06,9.7545735e-06,101,c2,0.6828178
0.007503756,0.0074583413,9.701634e-08,0.9850369,1.0576476e-07,7.697967e-07,103,c2,0.6845103
0.018057385,0.0014506646,7.737249e-08,0.98049104,5.805032e-08,7.0670484e-07,105,c2,0.68602294
1.0578717e-06,0.8091562,2.1927534e-08,0.19084263,6.3339356e-09,9.2157386e-08,107,c2,0.6886268
2.188392e-06,0.36163524,1.3944385e-08,0.6383622,2.3163652e-08,2.5709178e-07,109,c2,0.6982267
2.6539944e-06,0.176365,9.705329e-09,0.82363206,3.8244277e-08,2.952676e-07,111,c2,0.69959027
1.9105821e-06,0.024385529,3.4058294e-09,0.9756123,2.5285186e-08,1.6166192e-07,113,c2,0.70303184
