time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
74,-4.406839,-4.490963100126596,0.08412410012659599,0.003678321881249071,0.08602553301298639,74,0.66096044
75,-4.5436606,-4.531902571048951,-0.011758028951049049,0.003331712406159563,0.08238716176003168,75,0.6610741
76,-4.6627903,-4.571103239503996,-0.09168706049600406,0.003596446947918393,0.09247356071910195,76,0.6635411
77,-4.6364107,-4.608955691777149,-0.02745500822285063,0.00326712562808719,0.11292113324240542,77,0.66455066
78,-4.770368,-4.644863327427701,-0.12550467257229947,0.003778393038809526,0.1325596986944826,78,0.6666379
79,-4.8036942,-4.6780426963731685,-0.1256515036268313,0.004193162379322257,0.23090063171573186,79,0.6687522
80,-4.705675,-4.707595732321923,0.0019207323219223582,0.004157204387498616,0.20696460405543876,80,0.67162067
81,-4.658331,-4.733301811502174,0.07497081150217344,0.004420288599821448,0.20876594640423843,81,0.6723641
82,-4.913661,-4.755424056310576,-0.15823694368942398,0.005160062703612807,0.06652959801757424,82,0.6725024
83,-4.666863,-4.775595723756659,0.10873272375665888,0.005421961266527726,-0.046995434130563236,83,0.6725976
84,-4.573421,-4.794859951408891,0.22143895140889125,0.007320236109936611,0.10286374274395974,84,0.6735895
85,-4.9784217,-4.813120232386718,-0.1653014676132818,0.007438422123342116,-0.11200739187339577,85,0.6739024
86,-4.952286,-4.831173276233496,-0.12111272376650373,0.007924955115773544,-0.010249731812530477,86,0.67446625
87,-4.5042,-4.849474117387975,0.34527411738797475,0.01238934884145795,-0.15664293499632415,87,0.67498314
88,-4.947066,-4.868311322782161,-0.07875467721783913,0.012633814353374254,-0.20986518524396156,88,0.67538595
89,-4.6941075,-4.887486597012709,0.19337909701270828,0.0138352627387329,-0.23040721091422312,89,0.67604
90,-4.961807,-4.906873539177152,-0.054933460822848446,0.013759041328246242,-0.2540546232418713,90,0.6778044
91,-4.759097,-4.925803577384536,0.1667065773845362,0.01466857226791335,-0.2700368807709603,91,0.67798924
92,-5.2124987,-4.944748253854911,-0.26775044614508925,0.017459650171633374,-0.3396768870782732,92,0.6784632
93,-5.1606092,-4.963822995631431,-0.19678620436856864,0.018869303089722678,-0.19005642726033276,93,0.6786741
94,-4.6936073,-4.982428033674496,0.2888207336744957,0.021869919029244195,-0.27529655413792575,94,0.679045
95,-5.020392,-5.001106956676615,-0.019285043323384876,0.021840938369301923,-0.26480062479989963,95,0.6795744
96,-4.9675355,-5.021123434253584,0.0535879342535841,0.021694119419272913,-0.27002560199194464,96,0.67991394
97,-5.1495485,-5.04217713067994,-0.10737136932005953,0.022138645262345418,-0.2796982243069105,97,0.6799602
98,-4.812331,-5.063669952870111,0.25133895287011043,0.02417156529263991,-0.3166653875050454,98,0.68091094
99,-5.225797,-5.087009537747464,-0.13878746225253646,0.02481834993344055,-0.348024778765446,99,0.68174076
100,-4.932076,-5.114136158193373,0.18206015819337296,0.025918737514391506,-0.3765052007920424,100,0.68257344
101,-5.3340225,-5.14643774476223,-0.1875847552377694,0.027189025238141106,-0.40245473083017097,101,0.6828178
102,-5.022437,-5.1833256948925,0.1608886948924999,0.027858664887523213,-0.42672156813289724,102,0.68438023
103,-5.1319585,-5.223690402377217,0.09173190237721762,0.028104174381595463,-0.4057263847497566,103,0.6845103
104,-5.156824,-5.272153588584316,0.11532958858431552,0.02807834575787453,-0.3997644832310193,104,0.6851906
105,-5.2666125,-5.320770990426669,0.054158490426669204,0.028046256704267573,-0.40764760215525603,105,0.68602294
106,-5.313151,-5.3697759285294495,0.056624928529449114,0.027266346938121425,-0.4503400947032504,106,0.68695956
107,-4.9296565,-5.419434347320022,0.4897778473200223,0.03385151555958272,-0.3965274684264279,107,0.6886268
108,-5.5945544,-5.469862154859777,-0.12469224514022326,0.034861851071496745,-0.4268679539658218,108,0.694205
109,-5.6111054,-5.521064561665938,-0.09004083833406185,0.035456722112118796,-0.3946252343230533,109,0.6982267
110,-5.515058,-5.572947496710436,0.05788949671043664,0.033980349510924365,-0.3881546684987835,110,0.6985281
111,-5.554705,-5.625380343732253,0.07067534373225293,0.0338549613038285,-0.4084143186046081,111,0.69959027
112,-5.658356,-5.678284566379984,0.01992856637998397,0.03266476083463597,-0.3833748564992015,112,0.700902
113,-5.846363,-5.731644662904381,-0.11471833709561885,0.03199683059289674,-0.4302602034718052,113,0.70303184
114,-5.88293,,,,,114,0.70315796
