pseudotime,pseudotime_index,cluster,pca_comp,value
0.76210237,1158,3,0,-3.4766138
0.7622926,1159,4,0,-5.9798098
0.7623248,1160,3,0,-4.1751804
0.7624269,1161,3,0,-3.4833133
0.76243854,1162,3,0,-3.3787274
0.7624576,1163,3,0,-3.9695718
0.76247346,1164,4,0,-5.69674
0.7625356,1165,3,0,-3.734356
0.76257116,1166,3,0,-3.3995917
0.7626882,1167,3,0,-3.631597
0.7627148,1168,4,0,-5.95301
0.7627212,1169,3,0,-3.7027702
0.76283526,1170,3,0,-3.4585805
0.7629463,1171,4,0,-5.566217
0.76301,1172,3,0,-3.4990551
0.763088,1173,4,0,-6.1009793
0.76314074,1174,3,0,-3.89037
0.7631816,1175,4,0,-5.570816
0.76331383,1176,3,0,-4.565614
0.7633786,1177,3,0,-3.7382114
0.7633913,1178,3,0,-3.739424
0.76339215,1179,3,0,-3.8692296
0.763419,1180,4,0,-5.5543876
0.7634566,1181,3,0,-3.6598868
0.7635255,1182,3,0,-3.9322999
0.76353735,1183,3,0,-3.8263721
0.76356727,1184,3,0,-3.7639503
0.76359165,1185,3,0,-3.7874775
0.7636424,1186,3,0,-3.9237387
0.7637348,1187,3,0,-4.151928
0.7637543,1188,3,0,-3.788337
0.7638726,1189,3,0,-3.789146
0.7641838,1190,3,0,-3.6102352
0.76424354,1191,3,0,-3.63038
0.76425236,1192,3,0,-3.9124885
0.7643173,1193,3,0,-3.528264
0.7643529,1194,3,0,-4.0581365
0.76436305,1195,3,0,-3.6978693
0.7643759,1196,3,0,-4.032901
0.7643853,1197,3,0,-3.6948261
0.7643995,1198,3,0,-4.242361
0.7644667,1199,3,0,-3.6370509
0.76449573,1200,3,0,-3.9454126
0.7646555,1201,3,0,-4.096533
0.76466274,1202,3,0,-4.228766
0.76467466,1203,4,0,-5.392616
0.7648389,1204,4,0,-5.370047
0.7650324,1205,3,0,-4.478031
0.76504993,1206,3,0,-3.7415578
0.76513195,1207,3,0,-3.5245106
0.7653381,1208,3,0,-4.1192136
0.76535463,1209,3,0,-4.1151133
0.7653852,1210,3,0,-3.973318
0.7654559,1211,3,0,-4.061508
0.76549256,1212,3,0,-3.6971793
0.7655729,1213,3,0,-4.23092
0.76557523,1214,3,0,-4.459434
0.7655777,1215,3,0,-4.289049
0.7657113,1216,3,0,-3.9396367
0.7657171,1217,3,0,-3.5120525
0.76574475,1218,3,0,-4.285978
0.7657534,1219,3,0,-4.093373
0.76581717,1220,3,0,-3.9025614
0.76582307,1221,3,0,-4.263905
0.76588863,1222,3,0,-3.679263
0.76588887,1223,3,0,-3.846749
0.7658948,1224,3,0,-3.9871929
0.76593065,1225,3,0,-3.7789414
0.7659439,1226,3,0,-4.273824
0.766009,1227,3,0,-3.811514
0.76602674,1228,3,0,-3.7261415
0.7660989,1229,3,0,-3.800399
0.7662061,1230,3,0,-3.6786537
0.7662393,1231,4,0,-6.129503
0.76628923,1232,3,0,-4.3858247
0.7663013,1233,3,0,-3.5381217
0.76651835,1234,3,0,-4.336525
0.76656944,1235,3,0,-4.2189007
0.7666096,1236,3,0,-3.9914296
0.7666906,1237,3,0,-4.053376
0.7667288,1238,3,0,-3.8240726
0.7668309,1239,3,0,-4.0490327
0.7668374,1240,4,0,-5.5528574
0.7668771,1241,3,0,-4.193727
0.7669717,1242,3,0,-3.5359209
0.766988,1243,3,0,-4.240186
0.7669938,1244,3,0,-4.0298185
0.7670162,1245,3,0,-4.2339215
0.7670238,1246,3,0,-4.053444
0.7673295,1247,3,0,-3.4577293
0.76739204,1248,3,0,-3.4813364
0.76763093,1249,3,0,-3.6376178
0.7677628,1250,3,0,-3.562581
0.76784253,1251,3,0,-3.9008393
0.76785594,1252,3,0,-3.7480822
0.7678697,1253,4,0,-5.7186365
0.7678906,1254,3,0,-4.2956953
0.767935,1255,3,0,-3.9249384
0.7679618,1256,6,0,-7.023633
0.7680333,1257,3,0,-3.8082159
0.7680392,1258,3,0,-3.8904126
0.7680401,1259,3,0,-3.3487074
