m1,variable,value
1.5367867867867868,0_real,2.924298627535986
1.5405405405405406,0_real,2.9239017013916637
1.5442942942942943,0_real,2.9235035146901227
1.548048048048048,0_real,2.9231040647611293
1.5518018018018018,0_real,2.922703348919856
1.5555555555555556,0_real,2.9223013644668265
1.5593093093093093,0_real,2.9218981086878006
1.563063063063063,0_real,2.921493578853644
1.5668168168168168,0_real,2.9210877722203126
1.5705705705705706,0_real,2.9206806860286783
1.5743243243243243,0_real,2.9202723175044794
1.578078078078078,0_real,2.9198626638582112
1.5818318318318318,0_real,2.919451722285026
1.5855855855855856,0_real,2.9190394899646215
1.5893393393393394,0_real,2.9186259640611745
1.593093093093093,0_real,2.918211141723228
1.5968468468468469,0_real,2.917795020083533
1.6006006006006006,0_real,2.9173775962590494
1.6043543543543544,0_real,2.9169588673507505
1.6081081081081081,0_real,2.9165388304435726
1.6118618618618619,0_real,2.916117482606295
1.6156156156156156,0_real,2.9156948208914155
1.6193693693693694,0_real,2.915270842335067
1.6231231231231231,0_real,2.9148455439569085
1.6268768768768769,0_real,2.914418922759997
1.6306306306306306,0_real,2.9139909757306954
1.6343843843843844,0_real,2.9135616998385476
1.6381381381381381,0_real,2.913131092036177
1.6418918918918919,0_real,2.912699149259182
1.6456456456456456,0_real,2.9122658684259797
1.6493993993993994,0_real,2.911831246437755
1.6531531531531531,0_real,2.911395280178281
1.656906906906907,0_real,2.9109579665138465
1.6606606606606606,0_real,2.910519302293113
1.6644144144144144,0_real,2.9100792843470122
1.6681681681681682,0_real,2.9096379094886036
1.671921921921922,0_real,2.9091951745129814
1.6756756756756757,0_real,2.9087510761971203
1.6794294294294294,0_real,2.908305611299771
1.6831831831831832,0_real,2.9078587765613486
1.686936936936937,0_real,2.9074105687037513
1.6906906906906907,0_real,2.9069609844303175
1.6944444444444444,0_real,2.9065100204256042
1.6981981981981982,0_real,2.9060576733553374
1.701951951951952,0_real,2.905603939866227
1.7057057057057057,0_real,2.905148816585858
1.7094594594594594,0_real,2.904692300122557
1.7132132132132132,0_real,2.9042343870652543
1.716966966966967,0_real,2.9037750739833452
1.7207207207207207,0_real,2.9033143574265434
1.7244744744744744,0_real,2.9028522339247766
